Title,Company,Employment Type,Posted,Location,Salary,Experience,Category,Tags,Full Description,Job Page URL,Apply URL
Recruitment Marketing Specialist,micro1,Full-time,16 days ago,Worldwide,$20K – $40K,2 years experience,Recruitment,creative; advertising; project-management; b2b; communication; talent-acquisition; history,"Recruitment Marketing Specialist:

Job Type: Full-time

Location: Remote

Job Summary:

Join our team as a Recruitment Marketing Specialist and play a pivotal role in driving talent acquisition through innovative marketing strategies. You will spearhead the planning, execution, and analysis of recruitment marketing campaigns, ensuring our initiatives attract top talent and deliver measurable impact. This is a dynamic opportunity to leverage your expertise in recruitment marketing and project management within a collaborative, fully remote environment.

Key Responsibilities:

Own and maintain the supply marketing team's projects, keeping all initiatives organized, prioritized, and up to date.
Coordinate marketing projects from inception to execution, aligning stakeholders on deliverables and timelines throughout the process.
Manage the seamless production and delivery of both organic and paid content across acquisition channels.
Oversee the marketing content pipeline, working closely with content creators to ensure timely and quality output.
Track, analyze, and report on the performance of marketing campaigns across paid ads, job boards, social media, email, and other platforms.
Surface actionable insights from campaign and channel data, providing clear recommendations to optimize performance and achieve recruitment goals.
Champion effective communication across teams, ensuring alignment and transparency in all project stages.

Required Skills and Qualifications:

Proven experience in recruitment marketing, employer branding, or talent acquisition marketing roles.
Strong project management skills with a history of coordinating multiple complex initiatives simultaneously.
Demonstrated expertise in campaign performance monitoring and data-driven optimization.
Exceptional written and verbal communication abilities, with an emphasis on clarity and stakeholder alignment.
Experience managing content calendars and collaborating with cross-functional teams including content creators and recruiters.
Proficiency with analytics tools and platforms such as Google Analytics, applicant tracking systems, and marketing dashboards.
Detail-oriented, highly organized, and able to thrive in a fast-paced, remote team environment.

Preferred Qualifications:

Background in B2B or high-growth technology environments.
Familiarity with paid advertising for recruitment (e.g., job board ads, programmatic platforms).
Experience with employer branding initiatives and creative recruitment campaigns.",https://dailyremote.com/remote-job/recruitment-marketing-specialist-5322175,https://dailyremote.com/apply/5322175
Junior Crypto Trader (Remote),Atom Partners,,19 days ago,Worldwide,"$48,000K – $60,000K",,Others,trading; risk-management; onboarding; training; Trader,"ATOM Partners is an international company focused on digital asset markets, trading technologies, and data-driven market research. We work with modern analytical tools and help aspiring professionals build practical knowledge of cryptocurrency trading in a structured environment.

We are currently looking for a Junior Crypto Trader to join our growing remote team. This opportunity is designed for motivated individuals who are interested in financial markets, cryptocurrency, and analytical thinking. Previous professional trading experience is not required — we provide comprehensive training and continuous guidance throughout the onboarding process.

What You'll Do
Execute trades according to established trading strategies and internal guidelines.
Monitor cryptocurrency markets and identify potential trading opportunities.
Analyze charts, technical indicators, and market trends.
Follow market news and evaluate its potential impact on digital assets.
Maintain trading discipline and apply risk management principles.
Record and review your trading performance.
Use professional trading software and market analysis tools.
Continuously improve your market knowledge and trading skills.
What We're Looking For
Interest in cryptocurrency, trading, or financial markets.
Strong analytical and problem-solving skills.
Ability to stay focused and make decisions in a fast-paced environment.
Willingness to learn and develop professionally.
Good written and spoken English.
What We Offer
Fully remote position with flexible working hours.
Comprehensive onboarding program provided by the company.
Hands-on experience with professional trading platforms.
Access to market analytics, educational resources, and trading tools.
Ongoing mentorship from experienced market professionals.
Clear development path with opportunities for increased responsibility.
Performance-based compensation.
Benefits
Remote work from anywhere.
Flexible schedule.
Structured training program.
Career development opportunities.
Continuous mentorship.
International team.
Modern analytical tools.",https://dailyremote.com/remote-job/junior-crypto-trader-remote-5290686,https://dailyremote.com/apply/5290686
Funds Attorney,micro1,Contractor,a month ago,Worldwide,,,Legal,Attorney,"Role Title: Funds Attorney

Role Type: Contractor

Location: Remote

We are seeking seasoned Funds Attorneys for a part-time role at the forefront of legal AI. This opportunity is for elite lawyers who want to help shape how advanced AI is trained, evaluated, and applied in real-world legal work, especially those who have deep experience with drafting, reviewing, negotiating, and redlining within the tech field.

In this role, you will review, assess, and contribute to contract redlining workflows used to train and evaluate state-of-the-art AI models. Your work will directly improve how these systems identify risk and interpret contract language to create tools with improved precision and legal judgment.

Key Responsibilities:

Perform simulated contract negotiations and redlining exercises.
Review and assess AI responses to contract scenarios, providing expert feedback to improve model performance and output precision.
Create objective evaluation frameworks and grading criteria to assess AI performance on contract tasks with rigor and consistency.
Collaborate with product and research teams to refine data, guidelines, and best practices for AI-driven contract review solutions.

Required Skills and Qualifications:

J.D. from an ABA-accredited law school.
Active bar admission in at least one U.S. jurisdiction.
Minimum of 2 years in the funds department of a corporate law firm.
Familiarity with standard M&A agreements, including LPA's, subscription agreements, and side letters.
Exceptional written and verbal communication skills with meticulous attention to detail.
Strong analytical capabilities and ability to translate legal expertise into actionable feedback for AI systems.
Demonstrated commitment to innovation at the intersection of law and technology.
Experience working with cross-disciplinary teams in fast-paced environments.

Preferred Qualifications:

Prior exposure to AI, legal tech, or training initiatives.

Why Join:

This is an opportunity to work at the intersection of law and technology.
You will help define how AI is developed for a new generation of legal practitioners.
You will apply your experience in a high-impact research environment.",https://dailyremote.com/remote-job/funds-attorney-5250050,https://dailyremote.com/apply/5250050
Remote Psychiatric Mental Health Nurse Practitioner (PMHNP),Seasoned Recruitment,,5 days ago,United States,,,Healthcare,security; communication; documentation; Healthcare; Nurse Practitioner,"Job SummarySeasoned Recruitment is proud to partner with leading telehealth providers to source dedicated and compassionate Psychiatric Mental Health Nurse Practitioners (PMHNP). In this remote, independent contract position, you will play a pivotal role in expanding access to essential mental health services. Our mission is centered on clinical excellence and patient-centered care, and we are looking for practitioners who share our commitment to providing high-quality, evidence-based psychiatric interventions via a sophisticated and secure digital infrastructure.What We OfferUnparalleled Autonomy: Exercise complete control over your professional practice by designing a schedule that aligns with your lifestyle while managing your patient caseload entirely from your remote office.Competitive Compensation Structure: Benefit from a robust earnings model designed to reward your expertise, including protective reimbursement policies for patient no-shows and late cancellations to ensure your time is valued.Streamlined Clinical Focus: Operate within a supportive environment that leverages advanced technology to minimize administrative burdens, allowing you to dedicate your energy to psychiatric evaluations and therapeutic excellence.Core AccountabilitiesDeliver expert-level psychiatric care and pharmacological management through an encrypted, HIPAA-compliant telehealth platform.Formulate and execute comprehensive, evidence-based treatment plans tailored to the unique clinical needs of each patient.Maintain meticulous clinical documentation in accordance with the highest professional standards and regulatory requirements.Ensure unwavering adherence to HIPAA regulations and internal security protocols to protect patient confidentiality.Collaborate effectively with multidisciplinary teams to facilitate integrated care and optimize long-term patient outcomes.Mandatory QualificationsPossession of an active, unencumbered state license as a Psychiatric Mental Health Nurse Practitioner.Current DEA certification or the ability to obtain registration prior to the commencement of credentialing.Technical proficiency in navigating remote health platforms and digital communication suites.Strong clinical judgement and the ability to operate effectively in an autonomous, remote environment.How to ApplyQualified practitioners are invited to advance their careers by choosing one of the following application methods:Schedule a preliminary consultation with our recruitment team: https://calendly.com/seasoned-recruitment/telephone-screeningSubmit your professional CV/resume directly to: gethired@seasonedrecruitment.comComplete your application through the portal on this job board.",https://dailyremote.com/remote-job/remote-psychiatric-mental-health-nurse-practitioner-pmhnp-5397441,https://dailyremote.com/apply/5397441?nonce=70a77ed4c1c531ef
"Telehealth Psychotherapist (LCSW, LMFT, LMHC, LPCC)",Seasoned Recruitment,,5 days ago,United States,,,Healthcare,insurance; onboarding; Healthcare,"At Seasoned Recruitment, we champion the incredible impact that dedicated mental health professionals have on lives and communities. As the demand for high-quality, accessible mental healthcare reaches new heights, we invite you to join our remote clinical team and help shape the future of therapeutic care delivery.Why Join Our Network?Flexibility and Autonomy: Enjoy complete control over your schedule and work-life balance, practicing from the comfort of your home or private office.Zero Administrative Burden: We handle all the logistics—including credentialing, and billing—at no cost to you, so you can focus entirely on patient care.Competitive Compensation: Access above industry-standard reimbursement rates negotiated directly with insurance payors.Guaranteed Payouts: Benefit from 100% reimbursement for last-minute cancellations and no-shows, ensuring your time is always valued.Innovative Platform & Community: Work on a secure, state-of-the-art platform while remaining connected to a vibrant professional network for case consultations and professional growth.Our Client’s Commitment to YouOur client is dedicated to fostering a supportive, collaborative culture that empowers clinicians to excel. From a seamless onboarding experience to ongoing operational support, we ensure you have everything needed to focus on what you do best: changing lives.Next StepsIf you are interested in learning more about this opportunity, please email us at gethired@seasonedrecruitment.com or schedule a brief call directly on our calendar here: https://calendly.com/seasoned-recruitment/telephone-screening. We look forward to hearing from you and discussing how we can work together to provide transformative care.Required QualificationsLicensure: A current, valid, and fully unrestricted clinical license (e.g., LCSW, LMFT, LMHC, LPCC, Clinical Psychologist, or similar) in good standing.State Licensure: Active licensure in at least one US state. Experience: Demonstrated experience providing evidence-based individual, group, or couples therapy.Remote Readiness: Ability to maintain a secure, private, and HIPAA-compliant home office environment.Technical Proficiency: Comfort navigating Electronic Health Record (EHR) systems and secure video conferencing platforms.Application InstructionsReady to take the next step in your career? Please include the following details with your application:A copy of your current CV or Resume.Confirmation of your current licensure and the state(s) where you are licensed to practice.An indication of whether you require clinical supervision.We offer several convenient ways to apply:Completing the online application through this job posting.Email your resume to gethired@seasonedrecruitment.comUse the following link to schedule directly onto our calendar to discuss this opportunity further:  https://calendly.com/seasoned-recruitment/telephone-screening",https://dailyremote.com/remote-job/telehealth-psychotherapist-lcsw-lmft-lmhc-lpcc-5397440,https://dailyremote.com/apply/5397440?nonce=5d5c593be1817b96
Frontend Software Engineer,micro1,Contractor,a month ago,Worldwide,,4 years experience,Software Development,Software Engineer,"Role Title: Frontend Software Engineer

Role Type: Contractor

Location: Remote

micro1 is engaging expert Frontend Software Engineers to participate in a high-impact customer project, focusing on crafting exceptional user interfaces. In this role, you'll apply your expertise to help train next-generation AI systems. Your work will shape how models learn, reason, and perform through high-quality, real-world input. No prior experience in AI is required — your domain knowledge is what matters. Leverage your ability to interpret detailed component style guides and screenshots, delivering pixel-accurate, responsive web interfaces that set new standards in usability and aesthetics. Strong communication skills are highly valued for effective collaboration and documentation.

Scope of Work

Interpret and translate component style guides and interface screenshots into precise, visually consistent UI deliverables.
Implement pixel-perfect, responsive web components using modern technologies such as Typescript and CSS3.
Ensure all UI elements adhere to established design systems and accessibility standards.
Collaborate asynchronously through clear documentation and constructive feedback within a remote-first environment.
Proactively identify, communicate, and resolve inconsistencies or ambiguities in design specifications.
Optimize UI performance across devices, focusing on fast load times and smooth interactions.
Contribute domain-specific expertise to guide the training and development of advanced AI models.

Preferred Qualifications

Minimum of 3 years of professional experience delivering high-quality front-end solutions.
Proven proficiency with Typescript, CSS3, and responsive web design principles.
Demonstrated success in building pixel-perfect interfaces from detailed visual references.
Experience working with and extending component style guides and design systems.
Strong English communication skills
Self-motivated and capable of delivering autonomously within distributed project environments.
Advanced degree (Master’s or PhD) in Computer Science or a related technical discipline is a plus.",https://dailyremote.com/remote-job/frontend-software-engineer-5250046,https://dailyremote.com/apply/5250046
Freelance Writer,IAPWE,,a month ago,Worldwide,$50,,Writing,Freelance Writer,"Our organization is seeking content writers to create articles and blog posts on a variety of topics.

The rate of pay is $20 per 100 words (this comes out to approximately $100 per article or $50 per hour).

Some topics you may be asked to write about include the following (you can always turn down a topic if you do not feel comfortable writing about it, however if you have experience or expertise in a specific area, please let us know):

Health & beauty
Fitness
Home Decor
Fashion
Sports
Do it yourself
Finance
Legal
Medical
Family/Parenting
Relationships
Real Estate
Restaurants
Contracting (plumbing, pool building, remodeling, etc.)

These are just some of the more general industries and topics that we cover.

Requirements:

We ask that all work be completed using a word processor such as Microsoft Word or Open Office
A reliable internet connection and the ability to meet deadlines
Good communication skills and respond in a timely manner to editorial staff when they ask for updates on tasks, etc
Work well as a team member with the rest of our content management and editorial staff",https://dailyremote.com/remote-job/freelance-writer-5246037,https://dailyremote.com/apply/5246037
Government Solutions Account Executive,Equifax,,5 days ago,United States,,10+ years experience,Sales,security; account-executive; negotiation; Sales; Account Executive,"Equifax is where you can power your possible. If you want to achieve your true potential, chart new paths, develop new skills, collaborate with bright minds,  and make a meaningful impact, we want to hear from you.Equifax is seeking an experienced and results-oriented Account Executive to join our growing Public Sector team. In this role you will have the opportunity to work closely with other Public Sector Account Executives, Strategic Partner Director, and a client engagement team to help develop and close new sales opportunities. You will report to the Vice President of Sales, and the compensation package will include a base salary with variable compensation based on performance against annual revenue goals and objectives.This is a remote position. To effectively manage and visit our state agency partners, it is strongly preferred that the candidate reside in the Frankfort metro area. What you will do:Provides services assigned to State Government accounts and identifies, qualifies, and closes new opportunities by designing and executing plans for existing or potential prospects.Develops and executes long-range planning and account penetration strategies to grow accounts.Participates in a rigorous account planning process, including development of a robust pipeline and accurate revenue forecasts that will yield strong and predictable revenue growth.Leads capture and sales efforts by coordinating with cross-functional, geographically-diverse teams.Develops capture strategies, proposals, and customer facing artifacts for the purpose of pipeline development, deal advancement, and transaction closure.Utilizes enterprise solution selling strategies and integrates demand-generation sales approaches in all client-facing interactions.Exhibits executive presence to establish valuable relationships with client decision makers and directly leads negotiation of all client agreements.Monitors competition by gathering current marketplace information on pricing, products, new products, delivery schedules, marketing techniques, etc.Recommends changes in products, service, and policy with respect to client requirements and competitive landscape.Keeps management informed by submitting activity and results reports, and monthly and annual territory reports/analyses.Works with internal and external partners to create winning product, pricing and legal solutions as well as flawless service delivery and continued customer satisfaction. Continuous internal interaction with finance, legal, fulfillment and product teams is critical to success.Maintains professional and technical knowledge by attending company-sponsored training, educational workshops, reviewing professional publications, establishing personal networks, and participating in professional societies.Contributes to team effort by accomplishing tasks as needed.What experience you need:7+ Years of experience field sales, including at least 2 in state agencies, including selling in an account executive role within government agencies (e.g., Social Security Administration (SSA) and Department of Health and Human Services (HHS), Centers for Medicare and Medicaid Services (CMS)Qualified candidates will bring existing agency relationships.Extensive knowledge of competitive and teaming landscape within the large agency ecosystems ie SSA and HHSCombination of public sector sales experience, as well as software-as-a-service solutions. Experience in the Credit Agency space, leveraging assets related to eligibility verifications, identity and fraud and credit data is preferred.Proven track record of meeting/exceeding sales quota in a growth organization.Proven track record of executing capture strategies and winning competitive pursuits in excess of $10M+.Strong experience in Federal Government procurement and writing winning Federal Government competitive proposals.Strong business acumen and demonstrated strong understanding of aligning product/managed service offerings to customer mission and business requirements.Ability to travel up to 20%, more frequently if not based in Frankfort, KY.Bachelor’s degree preferred.What could set you apart:Sat in the seat of our customers: former director/deputy director/assistant secretary in Medicaid, SNAP, etc.Government engagement experience: e.g., government relations, campaign work, understanding of procurement and funding processes.Relationship builder: skilled at identifying and engaging with key stakeholders in person.Extensive knowledge of competitive and teaming landscape within the large agency ecosystems ie SSA and HHSExperience using Salesforce#LI-TE1#LI-RemoteWe offer comprehensive compensation and healthcare packages, 401k matching, paid time off, and organizational growth potential through our online learning platform with guided career tracks.Are you ready to power your possible?  Apply today, and get started on a path toward an exciting new career at Equifax, where you can make a difference!Primary Location:USA-Kentucky-RemoteFunction:Function - Sales and Account ManagementSchedule:Full time",https://dailyremote.com/remote-job/government-solutions-account-executive-5397431,https://dailyremote.com/apply/5397431?nonce=1dfa4dab32183cbe
Project Engineer,"Viasat, Inc.",,5 days ago,United States,,10+ years experience,Software Development,architecture; medical; communication; computer-science; leadership; science; Software Development,"About usOne team. Global challenges. Infinite opportunities. At Viasat, we’re on a mission to deliver connections with the capacity to change the world. For more than 35 years, Viasat has helped shape how consumers, businesses, governments and militaries around the globe communicate. We’re looking for people who think big, act fearlessly, and create an inclusive environment that drives positive impact to join our team. What you'll doViasat is looking for a UHF SATCOM and Integrated Broadcast Service (IBS) Subject Matter Expert (SME) with robust engineering experience supporting Department of Defense communications systems.  The day-to-dayServe as the technical lead for the Integrated Broadcast Service (IBS) demonstration effort, driving demo planning, documentation, testing, and execution. Leverage expertise across the full system lifecycle, including concept development, requirements analysis, architecture design, waveform development, systems engineering, integration, operational testing, deployment, sustainment, and the successful transition of new capabilities into operational use.   What you'll needA minimum15+ years’ experience in a technical Satellite Communication (SATCOM) systems environment.Demonstrated technical SATCOM leadership experience.LEO/GEO/MEO Satellite Architecture experience. Experience with networking (IP networking, routing, firewalls).RF knowledge. Excellent problem‑solving and debugging skills, clear and effective communication, and a track record of collaborating across diverse technical and organizational teams, including internal stakeholders, vendors, subcontractors, and partners.Ability to drive roadmap, strategy, and requirements management to achieve priorities.Bachelor’s degree in Engineering, Mathematics, Computer Science or equivalent experience. U.S. Citizenship required.Active DoD Secret Clearance or ability to obtain when administratively feasible.Ability to travel up to 15%. What will help you on the jobActive DoD Secret Clearance.Expertise with commonly used communications test equipment. Hands on experience working with SATCOM terminals and communications solutions.Excellent written and verbal communication skills at a technical and business user level.   Salary range$180,500.00 - $285,000.00 / annually.
For specific work locations within San Jose, the San Francisco Bay area and New York City metropolitan area, the base pay range for this role is $224,500.00- $336,500.00/ annually At Viasat, we consider many factors when it comes to compensation, including the scope of the position as well as your background and experience. Base pay may vary depending on job-related knowledge, skills, and experience. Additional cash or stock incentives may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.  Learn more about Viasat’s comprehensive benefit offerings that are focused on your holistic health and wellness at https://careers.viasat.com/benefits.  EEO StatementViasat is proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, ancestry, physical or mental disability, medical condition, marital status, genetics, age, or veteran status or any other applicable legally protected status or characteristic. If you would like to request an accommodation on the basis of disability for completing this on-line application, please click here.",https://dailyremote.com/remote-job/project-engineer-5397430,https://dailyremote.com/apply/5397430?nonce=58287db31b4caacf
Technical Product Manager,Cosuno,,a month ago,Germany,,2-5 years experience,Product,Product; Technical Product Manager,"Your missionThe future of construction software isn't a single closed platform — it's a connected ecosystem. As our Technical Product Manager for Integrations, you'll own how Cosuno connects to the third-party systems our customers already rely on, from estimating and ERP tools like RIB iTWO to the open REST API that lets others build on top of us. You'll be the bridge between our customers, our engineers, and our platform — turning real-world integration needs into a roadmap that makes Cosuno the infrastructure the construction industry plugs into.This is a hands-on, customer-facing role in our Product team. Both our REST API and our connectors are still early, so you won't just maintain an integration surface — you'll shape it. You'll spend real time on-site with customers, understand how their systems actually work, and translate that into a product that lets them connect to Cosuno as seamlessly as possible.In your first few months, you might:Take ownership of our integrations product area — the REST API and our existing connectors to third-party systems such as RIB iTWO — and define where they go next.Travel to customers across Germany to support them hands-on with implementing and setting up connectors, and to understand their systems, data flows, and constraints in the real world.Sit down with customers to elicit integration requirements, then prioritize them against impact, effort, and our platform strategy.Translate those requirements into clear, well-scoped tickets that our engineers can pick up and build — with the technical context they need to move fast.Work through our API documentation and test endpoints yourself to validate what's possible, spot gaps, and represent the developer experience from the outside in.Partner with Engineering, Customer Success, and Sales to make sure customers can connect their systems to Cosuno with as little friction as possible.How we workAt Cosuno, we give people real ownership and trust them to do their best work. For this role, that means:High autonomy, high impact: You'll own the integrations area end to end. No one will look over your shoulder, but you'll always have the support of the Product and Engineering teams when you need it.Close to the customer: This is not a desk-only PM role. A meaningful part of your time is spent with customers on-site.Technical by nature: You'll work directly with APIs, documentation, and connector behavior. You don't have to ship production code, but you do need to be comfortable in technical territory.Platform thinking: We're building the infrastructure other construction tools and AI agents connect into. Every integration decision feeds that bigger picture.AI-first: We use AI deeply in both our product and our daily work, and we want people who do the same.Your profileYou'll be a great fit if you have:3–5 years of experience in product management, ideally in B2B SaaS, platform, or developer-facing products.Hands-on experience with APIs and integrations — you understand how REST APIs work, can read and reason about API documentation, and are comfortable validating endpoints (e.g. with tools like Postman) yourself.A talent for working directly with customers: eliciting requirements, asking the right questions, and earning trust in technical conversations.The ability to translate messy, real-world integration needs into prioritized, well-scoped tickets that engineers can act on.Strong analytical thinking and a pragmatic instinct for turning complex problems into workable solutions.Native-level German (this is a firm requirement — all of our customers are German construction companies and you'll work with them directly and on-site) and fluent English.Willingness to travel regularly to customers within Germany.You use AI tools — LLM-based assistants, MCPs, no-code prototyping — routinely in your day-to-day work.Bonus points for:Experience with construction tech, ERP, or estimating systems (e.g. RIB iTWO, SAP, Nevaris).A background as a solutions engineer, integration engineer, or technical consultant before or alongside product management.Why us?Competitive Compensation: A competitive salary above the market average.Work-Life Balance: Work fully remotely from anywhere in Germany, or from our modern office in Berlin Friedrichshain. We offer flexible working hours to fit your life.Top-Notch Equipment: A new MacBook Pro to ensure you have the best tools for the job.A Great Team: Regular company off-sites and team events that connect us as people, not just colleagues.Job Security: A permanent contract in a stable, well-funded company.Growth & Feedback: An open feedback culture with regular 1:1s and development conversations.About usCosuno – Revolutionizing construction through technology.We are Cosuno – a fast-growing tech startup that is making the construction industry more efficient and transparent with our digital platform for tenders and procurement processes. Our goal: to solve the most complex challenges in the industry with innovation and simplicity.Artificial intelligence is the key to our solution: it analyzes millions of price data points and helps construction companies create precise and efficient bids. This not only saves our customers time but also helps them avoid unnecessary costs.But for us, it's not just about technology – it's about the people who drive it. At Cosuno, you will work with creative minds who are reshaping the construction industry. We believe in diversity because we know that the best ideas come from different perspectives. An integrative and inclusive work environment is a matter of course for us.Join us – Build the future of construction.",https://dailyremote.com/remote-job/technical-product-manager-5212437,https://dailyremote.com/apply/5212437?nonce=1b0952eb058d3e43
